phi,ani_angle,ani_ratio,convergence
0.446007374119313,1.52019269626675,2.84379135737425,0
0.486110308240961,1.51352320293895,2.61700589443557,0
0.524847522048673,1.51965187193785,2.42454335871015,0
0.558749994971936,1.50925156379436,2.29549059147122,0
0.590405742901021,1.49873459043967,2.19220858852875,0
0.620304491522249,1.50236673882696,2.09576664397518,0
0.85500638885412,1.0661951945687,1.16691648217588,0
1.09274773907038,0.9974661586504,1.21071232202599,0
1.31761637596795,1.66849495982362,1.0625547677687,0
1.63028892537551,1.20220405165228,1.06106708185173,0
1.86426802991291,0.686457585641652,1.08165974364206,0
2.01317114708566,1.39885110797895,1.12862223951545,0
2.0780826118782,1.27593170040227,1.23969193967136,0
2.12267718234476,1.18946525125222,1.33375367564201,0
2.10704704478191,1.2041889662983,1.4776089232864,0
2.06650888683381,1.18049957729235,1.58905132912207,0
2.05414286294837,1.15456877313983,1.63348259768128,0
2.04147817401115,1.13815653365433,1.65337130503149,0
2.05041757962335,1.11718326432243,1.71076837007219,0
2.07783174494496,1.12597271783307,1.74511988417365,0
2.0940254940684,1.15649056409132,1.78457289545432,0
2.10636660528741,1.19526583610312,1.84841888373271,0
2.09581127299781,1.24164478237917,1.93436632061522,52
2.11508687563004,1.27298560482392,2.00437310738898,0
2.13536480266337,1.30769972847992,2.03185774280084,0
2.14675551968001,1.35297305913009,2.07279104228123,0
2.13562988251689,1.41063796197286,2.13070430929064,0
2.1483648325162,1.46937553024207,2.1587068617136,0
2.12278329105714,1.52992577100341,2.39362246290423,0
2.12006345908034,1.55441008581721,2.65787822583005,0
2.08124551604444,1.56551652086982,3.0472998156994,0
2.04723571363719,1.57148576855137,3.45569896982742,0
1.99899951906372,1.57967036354089,3.84338171611538,0
1.96231640261181,1.59055011706209,4.04014426210308,0
1.65842325128364,3.07965636862411,1.72983364803747,0
1.65574425287748,3.08264792701461,1.80673142430702,0
1.35416650390192,0.0642279801166299,2.03831393291212,0
1.30632195925254,0.0767858897574943,2.06485448014482,0
1.286775399464,0.0798270121258234,1.99054465096427,0
1.26706043604483,0.0844444494839646,1.94018366748607,0
0.398423671077449,1.35736976087326,3.47498076854162,0
0.437489143884009,1.35880918066877,3.1078117579577,0
0.474435860878483,1.35298353730619,2.84263824989573,0
0.5048398509073,1.33445071645323,2.7106371139165,0
0.534664978224292,1.32359205613138,2.57292365153834,0
0.56597209380525,1.33281898544699,2.38680442953525,0
0.792038431125169,1.00014485926713,1.39316477710281,0
1.03932368891093,1.03916885227847,1.24987570112497,0
1.25799049208872,1.36615760918644,1.10454514772175,0
1.57616158383849,1.34654189094119,1.13609218458201,0
1.84513550485916,1.05595500237369,1.12631547006266,0
1.98738978561641,1.44962950654771,1.16457463189447,0
2.06364492990353,1.28197684369462,1.22676256476176,0
2.10748029056045,1.16970072422003,1.31023900239106,0
2.10159264141782,1.2038427610291,1.4326654078065,0
2.05135306955804,1.17153106689882,1.54232095931955,0
2.03944364739016,1.13958498388849,1.57631023868019,0
2.03782510715101,1.12619823250381,1.57679871320694,0
2.05145818143209,1.10248967547777,1.60918773485724,0
2.08623647494303,1.10988842266118,1.63176059902439,0
2.11715941305279,1.13517797331253,1.65936047160892,0
2.14669087820418,1.16857203230891,1.68951961167717,0
2.14379082860549,1.21603137071091,1.75372765031872,0
2.16835760492369,1.2488915331585,1.80470308862227,0
2.18884741543492,1.2888197533546,1.82779052776147,0
2.1996804726228,1.34123731974748,1.85622251212172,0
2.17554612592449,1.4045032270502,1.92690207900441,0
2.19660035076712,1.4537100357115,1.97852910174246,0
2.18964995342804,1.50138493493757,2.18385229676146,0
2.18425944041753,1.52339357018504,2.47982351122588,0
2.14095677588939,1.53293200511632,2.89746707433728,0
2.09952521770325,1.54045112057565,3.32425125461861,0
2.0461088258819,1.55156148873078,3.79118644908039,0
1.99721263440071,1.56497354089591,4.14546161559762,0
1.64934212402548,3.08570593370552,1.66856863192658,0
1.63737520478718,3.08260932543344,1.80202011437339,0
1.36836271324572,0.040613596256131,1.91024129940213,0
1.34737774761265,0.046309890294726,1.91335638841966,0
1.32127674298073,0.0501661513784751,1.93197343928809,0
1.3049977565168,0.05279114291824,1.84150207753349,0
