time,t2m
1959-07-01,297.25305869719
1960-07-01,297.48985941603223
1961-07-01,297.1952787075115
1962-07-01,297.23226173226345
1963-07-01,298.60822157432574
1964-07-01,299.20140374318
1965-07-01,297.84731219837596
1966-07-01,299.91270052511425
1967-07-01,296.3447324571367
1968-07-01,297.14664532799725
1969-07-01,298.8808897474046
1970-07-01,298.17817433254737
1971-07-01,296.81154205504
1972-07-01,296.6451885806802
1973-07-01,297.7117563916103
1974-07-01,299.26770546018236
1975-07-01,297.8621861975694
1976-07-01,297.8368479097904
1977-07-01,299.09357051125653
1978-07-01,298.5752012494454
1979-07-01,297.4814253463955
1980-07-01,300.6455428206796
1981-07-01,298.3693891244314
1982-07-01,298.29833834060946
1983-07-01,299.4321565559784
1984-07-01,297.66592355474074
1985-07-01,298.08281393083587
1986-07-01,299.0962151068712
1987-07-01,298.597535390406
1988-07-01,298.4700842221754
1989-07-01,298.01064505537704
1990-07-01,297.4188712781014
1991-07-01,298.3268379007927
1992-07-01,296.37437967930674
1993-07-01,298.20698195117933
1994-07-01,297.19234345559806
1995-07-01,298.34901252721994
1996-07-01,297.0546957946377
1997-07-01,297.91732455971373
1998-07-01,298.83020894323687
1999-07-01,299.1714032672512
2000-07-01,298.1390841242594
2001-07-01,299.4211755695711
2002-07-01,299.18495651905573
2003-07-01,298.83729740562393
2004-07-01,296.89404181210784
2005-07-01,298.86976847925797
2006-07-01,299.78381801123487
2007-07-01,298.1171319404243
2008-07-01,298.46615565192604
